2026-08-16 20:23:23,288 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,288 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 20:23:23,288 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 20:23:23,305 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 20:23:23,305 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 20:23:23,305 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 20:23:23,305 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 20:23:23,305 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 20:23:23,305 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 20:23:23,305 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 20:23:23,305 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 20:23:23,323 | INFO    | src.transformation.fact | fact_indicadores construída: 58 linhas
2026-08-16 20:23:23,339 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,339 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 20:23:23,354 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 20:23:23,359 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 20:23:23,359 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 20:23:23,359 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 20:23:23,359 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 20:23:23,359 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 20:23:23,359 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 20:23:23,359 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 20:23:23,359 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 20:23:23,377 | INFO    | src.transformation.fact | fact_indicadores construída: 58 linhas
2026-08-16 20:23:23,394 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,394 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 20:23:23,402 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
2026-08-16 20:23:23,408 | INFO    | src.transformation.dimensions | dim_tempo: 15 linhas
2026-08-16 20:23:23,408 | INFO    | src.transformation.dimensions | dim_localidade: 3 linhas
2026-08-16 20:23:23,408 | INFO    | src.transformation.dimensions | dim_indicador: 31 linhas
2026-08-16 20:23:23,408 | INFO    | src.transformation.dimensions | dim_abrangencia: 1 linhas
2026-08-16 20:23:23,408 | INFO    | src.transformation.dimensions | dim_agente: 1 linhas
2026-08-16 20:23:23,408 | INFO    | src.transformation.dimensions | dim_arma: 2 linhas
2026-08-16 20:23:23,408 | INFO    | src.transformation.dimensions | dim_faixa_etaria: 1 linhas
2026-08-16 20:23:23,408 | INFO    | src.transformation.dimensions | dim_sexo: 3 linhas
2026-08-16 20:23:23,424 | INFO    | src.transformation.fact | fact_indicadores construída: 58 linhas
2026-08-16 20:23:23,441 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,441 | INFO    | src.transformation.fact | Agregação por grão real: 24 linhas STAGING -> 23 linhas de grão único (1 linhas combinadas por SUM dentro da mesma chave dimensional)
2026-08-16 20:23:23,441 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
